NAME,PCID,AgencyDesc,AGID,Longitude,Latitude
Monte Vista,OCA,MONTE VISTA,C,-120.8314139,39.18986682
Monterey,MNT,MONTEREY,C,-121.882452,36.59377512
Morgan Hill,OCM,MORGAN HILL,C,-121.649989,37.12524906
Morro Bay,MRO,MORRO BAY,C,-120.8506223,35.37183716
Moss Beach,OSF,MOSS BEACH,C,-122.5063178,37.52091908
Moss Landing,MOS,MOSS LANDING,C,-121.783757,36.80411109
Mountain View,OSF,MOUNTAIN VIEW,C,-122.0729899,37.40046006
Muir Beach,OSM,MUIR BEACH,C,-122.5870568,37.86580506
Nahcotta,WLB,NAHCOTTA,W,-124.0334991,46.49890862
Napa,OSF,NAPA,C,-122.2933447,38.297431
Naselle,WLB,NASELLE,W,-123.8098652,46.36615861
National City,OSD,NATIONAL CITY,C,-117.0954181,32.66951624
Neah Bay,NEA,NEAH BAY,W,-124.6115886,48.3659486
Nehalem,NHL,NEHALEM BAY,O,-123.8942103,45.71754965
Netarts,NTR,NETARTS,O,-123.9447053,45.43252267
Newark,OSF,NEWARK,C,-122.0258339,37.52874805
Newberry Springs,OCA,NEWBERRY SPRINGS,C,-116.687488,34.82777274
Newhall,OLA,NEWHALL,C,-118.5300307,34.38144512
Newport,NEW,NEWPORT,O,-124.0530275,44.65151772
Newport Beach,NWB,NEWPORT BEACH,C,-117.9306419,33.62133417
Nicasio,OSM,NICASIO,C,-122.6976177,38.06102305
Nice,OCA,NICE,C,-122.8541266,39.12276698
Nicolaus,OCA,NICOLAUS,C,-121.5782448,38.9041929
Niland,OCA,NILAND,C,-115.5190314,33.23910309
Nipomo,OSL,NIPOMO,C,-120.4950384,35.03076817
Norco,OLA,NORCO,C,-117.5588579,33.92425612
North Shore,OSD,NORTH SHORE,C,-115.9272105,33.51277286
Norwalk,OLA,NORWALK,C,-118.0825189,33.90280315
Novato,OSM,NOVATO,C,-122.5650767,38.08793304
Oakhurst,OCA,OAKHURST,C,-119.6509323,37.3329619
Oakland,OAK,OAKLAND,C,-122.2148848,37.77230304
Oakley,OSF,OAKLEY,C,-121.7139439,37.98926399
Oakville,GRH,OAKVILLE,W,-123.2328301,46.84085552
Occidental,OSM,OCCIDENTAL,C,-122.9374916,38.40844504
Ocean Beach,OSD,OCEAN BEACH,C,-117.2525061,32.74516624
Ocean Park,OLA,OCEAN PARK,C,-118.4844908,34.00184916
Oceanside,OCN,OCEANSIDE,C,-117.369227,33.18358119
Oildale,OCA,OILDALE,C,-119.0301356,35.42707504
Ojai,OBV,OJAI,C,-119.2470996,34.44770016
Old River,OCA,OLD RIVER,C,-119.1095866,35.26715707
Olivehurst,OCA,OLIVEHURST,C,-121.5517478,39.08442888
Olympia,OLY,OLYMPIA,W,-122.9016881,47.04490547
Ontario,OLA,ONTARIO,C,-117.6507769,34.05507711
Orange,OLA,ORANGE,C,-117.8532389,33.78812815
Orangevale,OCA,ORANGEVALE,C,-121.2255109,38.68849289
Orland,OCA,ORLAND,C,-122.1874136,39.74734388
Oroville,OCA,OROVILLE,C,-121.5508547,39.50032385
Oxnard,OXN,OXNARD,C,-119.1773236,34.19770018
Pacific City,PCC,PACIFIC CITY,O,-123.9616864,45.20184468
Pacific Grove,OCM,PACIFIC GROVE,C,-121.92184,36.61968112
Pacific Palisades,OLA,PACIFIC PALISADES,C,-118.5257788,34.04739616
Pacifica,OSF,PACIFICA,C,-122.4861068,37.61466407
Palm City,OCA,PALM CITY,C,-117.0840791,32.58377425
Palm Springs,OCA,PALM SPRINGS,C,-116.5431791,33.80143308
Palo Alto,OSF,PALO ALTO,C,-122.1599149,37.43732307
Palo Verde,OCA,PALO VERDE,C,-114.7324805,33.43313403
Paramount,OLA,PARAMOUNT,C,-118.1688158,33.89818116
Pasadena,OLA,PASADENA,C,-118.1323378,34.14588513
Paso Robles,OSL,PASO ROBLES,C,-120.6602503,35.63886713
Patterson,OCA,PATTERSON,C,-121.140873,37.47463699
Pebble Beach,OCM,PEBBLE BEACH,C,-121.943341,36.58677912
Pescadero,OSF,PESCADERO,C,-122.3767699,37.2530111
Petaluma,OSM,PETALUMA,C,-122.6287417,38.24584303
Pigeon Point,OSF,PIGEON POINT,C,-122.3940988,37.18189949
Pillar Rock,OCR,PILLAR ROCK,W,-123.5866317,46.26053146
Pinole,OSF,PINOLE,C,-122.2851538,37.99079703
Pismo Beach,OSL,PISMO BEACH,C,-120.6448943,35.14631217
Pittsburg,OSF,PITTSBURG,C,-121.8973988,38.014367
Pixley,OCA,PIXLEY,C,-119.2920225,35.97360701
Placerville,OCA,PLACERVILLE,C,-120.8054009,38.72820585
Playa del Rey,OLA,PLAYA DEL REY,C,-118.4447268,33.94895217
Pleasant Hill,OSF,PLEASANT HILL,C,-122.0777308,37.94793602
Pleasanton,OSF,PLEASANTON,C,-121.8970259,37.67602203
Point Arguello,OBV,POINT ARGUELLO,C,-120.6486538,34.57758591
Point Conception,OBV,CONCEPTION,C,-120.4708204,34.44907762
Point Dume,OLA,POINT DUME,C,-118.8068266,34.0008674
Point Lobos,OCM,POINT LOBOS,C,-121.942587,36.51709513
Point Loma,OSD,POINT LOMA,C,-117.2391621,32.68413425
Point Montara,OSF,POINT MONTARA,C,-122.5192232,37.53627205
Point Mugu,OBV,POINT MUGU,C,-119.060542,34.08561043
Point Roberts,ONP,POINT ROBERTS,W,-123.0766336,48.9846734
Point San Pedro,OSF,POINT SAN PEDRO,C,-122.5180625,37.5936007
Port Angeles,PAG,PORT ANGELES,W,-123.4608668,48.11591648
Port Costa,OSF,PORT COSTA,C,-122.1907618,38.04570402
Port Hueneme,HNM,PORT HUENEME,C,-119.1952426,34.16107619
Port Orford,ORF,PORT ORFORD,O,-124.4973478,42.75043888
Port Townsend,TNS,PORT TOWNSEND,W,-122.7907129,48.12012741
Porterville,OCA,PORTERVILLE,C,-119.0263315,36.07676798
Poulsbo,OSP,POULSBO,W,-122.637059,47.73344141
Poway,OSD,POWAY,C,-117.0234491,32.9863662
Queets,OWC,QUEETS,W,-124.3318118,47.53945361
Quilcene,OSP,QUILCENE,W,-122.875659,47.82429243
Quillayute,OWC,QUILLAYUTE,W,-124.5407877,47.94248861
Rancho Palos Verdes,OLA,RANCHO PALOS VERDES,C,-118.3699128,33.76289118
Raymond,WLB,RAYMOND,W,-123.7342631,46.68119058
Red Bluff,OCA,RED BLUFF,C,-122.2398255,40.17631585
Redding,OCA,REDDING,C,-122.3766854,40.57309683
Redondo Beach,OLA,REDONDO BEACH,C,-118.3854018,33.83817818
Redwood City,OSF,REDWOOD CITY,C,-122.2233708,37.47764707
Requa,ODN,REQUA,C,-124.051886,41.54625191
Reseda,OLA,RESEDA,C,-118.5360298,34.20108014
Richmond,RCH,RICHMOND,C,-122.3448068,37.93017904
Ridgecrest,OCA,RIDGECREST,C,-117.6698008,35.63700394
Ridgefield,OCR,RIDGEFIELD,W,-122.7337164,45.80743052
Rincon,OBV,RINCON,C,-116.9586751,33.28843216
Rio Linda,OCA,RIO LINDA,C,-121.4568658,38.68387191
Rio Vista,OSF,RIO VISTA,C,-121.7126988,38.17326597
Ripon,OCA,RIPON,C,-121.130785,37.73942697
Riverside,OLA,RIVERSIDE,C,-117.4004,33.94742511
Rockaway Beach,OSF,ROCKAWAY BEACH,C,-122.4968486,37.6097719
Rodeo,OSF,RODEO,C,-122.2660128,38.02791602
Rohnert Park,OSM,ROHNERT PARK,C,-122.6922347,38.34725803
Roseville,OCA,ROSEVILLE,C,-121.2941278,38.76136989
Rough and Ready,OCA,ROUGH & READY,C,-121.1349968,39.23050184
Ruth,OHB,RUTH,C,-123.3215763,40.26905293
Sacramento,OCA,SACRAMENTO,C,-121.4871338,38.57365392
Salinas,OCM,SALINAS,C,-121.655994,36.6775351
Salmon River,SRV,SALMON RIVER,O,-124.0060965,45.04666136
Salton City,OCA,SALTON SEA,C,-115.9626873,33.29947811
San Bernardino,OLA,SAN BERNARDINO,C,-117.294149,34.13598208
San Bruno,OSF,SAN BRUNO,C,-122.4243588,37.62583207
San Carlos,OSF,SAN CARLOS,C,-122.2686218,37.49847107
San Clemente,OLA,SAN CLEMENTE,C,-117.613534,33.44437418
San Diego,SD,SAN DIEGO,C,-117.1638291,32.71882924
San Diego Area,SDA,SAN DIEGO AREA PORTS,C,-117.1638291,32.71882924
San Francisco,SF,SAN FRANCISCO,C,-122.4191958,37.77520106
San Francisco Area,SFA,SAN FRANCISCO AREA PORTS,C,-122.4191958,37.77520106
San Jose,OSF,SAN JOSE,C,-121.8776229,37.32004706
San Juan Bautista,OCM,SAN JUAN BAUTISTA,C,-121.538338,36.84565307
San Leandro,OSF,SAN LEANDRO,C,-122.1568408,37.72583904
San Luis Obispo,OSL,SAN LUIS OBISPO,C,-120.6703673,35.26955616
San Marcos,OSD,SAN MARCOS,C,-117.1741971,33.13857219
San Mateo,OSF,SAN MATEO,C,-122.3218228,37.55908507
San Miguel,OSL,SAN MIGUEL,C,-120.6961363,35.75276412
San Pedro,SP,SAN PEDRO,C,-118.2879138,33.73603818
San Quentin,OSM,SAN QUENTIN,C,-122.4835388,37.94149305
San Rafael,OSM,SAN RAFAEL,C,-122.5285177,37.97120505
San Simeon,OSL,SAN SIMEON,C,-121.1825422,35.68020416
San Ysidro,OSD,SAN YSIDRO,C,-116.5712462,33.25374514
Sandlake,SLK,SAND LAKE,O,-123.9230324,45.30332568
Santa Ana,OLA,SANTA ANA,C,-117.8676119,33.74552516
Santa Barbara,SB,SANTA BARBARA,C,-119.7044035,34.42339819
Santa Cruz,CRZ,SANTA CRUZ,C,-122.0333029,36.9779001
Santa Maria,OBV,SANTA MARIA,C,-120.4359134,34.92088618
Santa Monica,OLA,SANTA MONICA,C,-118.4896798,34.00794916
Santa Paula,OBV,SANTA PAULA,C,-119.0716007,34.35029016
Santa Rosa,OSM,SANTA ROSA,C,-122.7176787,38.44562002
Santee,OSD,SANTEE,C,-116.9831291,32.85516521
Sausalito,SLT,SAUSALITO,C,-122.4894468,37.86121405
Scotia,OHB,SCOTIA,C,-124.1027102,40.48369299
Seal Beach,OLA,SEAL BEACH,C,-118.0741549,33.75947417
Seaside,OCM,SEASIDE,C,-121.81729,36.62163611
Seaside,GSS,GEARHART-SEASIDE,O,-123.9206402,45.99311564
Seattle,SEA,SEATTLE,W,-122.3472611,47.62096738
Sebastopol,OSM,SEBASTOPOL,C,-122.8241777,38.40207904
Sequim,SEQ,SEQUIM,W,-123.1076609,48.07963245
Shafter,OCA,SHAFTER,C,-119.1888535,35.47056105
Shell Beach,OSL,SHELL BEACH,C,-120.6704913,35.15702017
Shelter Cove,OHB,SHELTER COVE,C,-124.0725623,40.02858701
Shelton,SHL,SHELTON,W,-123.1133971,47.21379949
Simi Valley,OBV,SIMI VALLEY,C,-118.7438477,34.27269415
Skamania,OCR,SKAMANIA,W,-122.0397116,45.61767446
Smartville,OCA,SMARTSVILLE,C,-121.2977748,39.20331385
Smith River,ODN,SMITH RIVER,C,-124.145991,41.93007289
Snelling,OCA,SNELLING,C,-120.4400911,37.51891194
Solana Beach,OSD,SOLANA BEACH,C,-117.2717201,32.99182921
Solromar,OBV,SOLROMAR,C,-118.9536848,34.05006147
Solvang,OBV,SOLVANG,C,-120.1410705,34.5960222
Sonoma,OSM,SONOMA,C,-122.4577627,38.29193702
Sonora,OCA,SONORA,C,-120.3821041,37.98293789
Soquel,OCM,SOQUEL,C,-121.9573319,36.98812709
South Bend,WLB,SOUTH BEND,W,-123.8066061,46.66428359
South Gate,OLA,SOUTH GATE,C,-118.2075198,33.94441915
South San Francisco,OSF,SOUTH SAN FRANCISCO,C,-122.4078668,37.65465507
Spring Valley,OSD,SPRING VALLEY,C,-116.9715841,32.73097523
St. Helena,OCA,SAINT HELENA,C,-122.4668467,38.503179
Stanwood,ONP,STANWOOD,W,-122.3705939,48.24104736
Stella,OCR,STELLA,W,-123.1174553,46.19011554
Stewarts Point,OSM,STEWARTS POINT,C,-123.3994325,38.65190706
Stinson Beach,OSM,STINSON BEACH,C,-122.6397517,37.89849206
Stockton,OCA,STOCKTON,C,-121.2911019,37.95757996
Suisun City,OSF,SUISUN CITY,C,-121.9947578,38.24302199
Sunnyvale,OSF,SUNNYVALE,C,-122.0368359,37.36919006
Sunset Beach,OLA,SUNSET BEACH,C,-118.0687299,33.71649817
Surf,OBV,SURF,C,-120.6037654,34.68267422
Tacoma,TAC,TACOMA,W,-122.4425482,47.24453641
Taft,OCA,TAFT,C,-119.4209995,35.1370331
Tahoe City,OCA,TAHOE CITY,C,-120.138685,39.17292577
Tahoe Keys,OCA,TAHOE KEYS,C,-120.013654,38.93638876
Taholah,OWC,TAHOLAH,W,-124.2863919,47.33320361
Tecopa,OCA,TECOPA,C,-116.225598,35.84833182
Terminal Island,TRM,TERMINAL ISLAND,C,-118.2923218,33.73604118
The Dalles,OCR,THE DALLES,W,-121.1809857,45.59304938
Thermal,OCA,THERMAL,C,-116.1395252,33.64053007
Thorn,OCA,THORN,C,-117.2772919,34.47629104
Thousand Oaks,OBV,THOUSAND OAKS,C,-118.8685737,34.19977916
Tiburon,OSM,TIBURON,C,-122.4789818,37.89031105
Tokeland,WLB,TOKELAND,W,-123.9805221,46.70597361
Topanga,OLA,TOPANGA CANYON,C,-118.6020578,34.09337916
Torrance,OLA,TORRANCE,C,-118.3598998,33.82621118
Tracy,OCA,TRACY,C,-121.4363969,37.73972099
Trinidad,TRN,TRINIDAD,C,-124.1399161,41.06178195
Truckee,OCA,TRUCKEE,C,-120.1729899,39.34528875
Tulare,OCA,TULARE,C,-119.3435864,36.19654299
Turlock,OCA,TURLOCK,C,-120.8542821,37.50340197
Ukiah,OMD,UKIAH,C,-123.2076215,39.14999201
Upland,OLA,UPLAND,C,-117.6513309,34.1069101
Upper Lake,OCA,UPPER LAKE,C,-122.9114615,39.16223898
Vacaville,OSF,VACAVILLE,C,-121.9814438,38.35517198
Vallejo,OSF,VALLEJO,C,-122.2315118,38.14018101
Valley Center,OSD,VALLEY CENTER,C,-117.0128741,33.20521717
Vancouver,OCR,VANCOUVER,W,-122.6713835,45.64018353
Venice,OLA,VENICE,C,-118.4624248,33.98904616
Ventura,VEN,VENTURA,C,-119.2670366,34.27154218
Vernon,OLA,VERNON,C,-118.2196358,34.00200515
Verona,OCA,VERONA,C,-121.6184808,38.78612991
Victorville,OCA,VICTORVILLE,C,-117.3301239,34.50696104
Visalia,OCA,VISALIA,C,-119.2923514,36.33015997
Vista,OSD,VISTA,C,-117.2434571,33.20159719
Waldport,WLD,WALDPORT,O,-124.0726675,44.42210174
Walnut,OLA,WALNUT,C,-117.8596349,34.03800112
Walnut Creek,OSF,WALNUT CREEK,C,-122.0643088,37.90625202
Walnut Grove,OCA,WALNUT GROVE,C,-121.5125109,38.24366695
Washougal,OCR,WASHOUGAL,W,-122.3537996,45.5811235
Watsonville,OCM,WATSONVILLE,C,-121.771618,36.91653208
Weaverville,OCA,WEAVERVILLE,C,-122.9521603,40.77199787
Weed,OCA,WEED,C,-122.3874613,41.42274877
West Beach,ONP,WEST BEACH,W,-122.9553027,48.6853344
West Los Angeles,OLA,WEST LOS ANGELES,C,-118.4633088,34.04056816
West Sacramento,OCA,WEST SACRAMENTO,C,-121.5501448,38.55112793
Westlake Village,OBV,WESTLAKE VILLAGE,C,-118.8197577,34.13935417
Westminster,OLA,WESTMINSTER,C,-117.9895039,33.75921016
Westport,WPT,WESTPORT,W,-124.111557,46.88684061
Whitethorn,OCA,WHITEHORN,C,-123.9417035,40.02313642
Whittier,OLA,WHITTIER,C,-118.0373849,33.96577314
Willits,OMD,WILLITS,C,-123.3516244,39.404111
Willow Creek,OCM,WILLOW CREEK,C,-123.6613872,40.88700692
Willows,OCA,WILLOWS,C,-122.2006156,39.5140959
Wilmington,WLM,WILMINGTON,C,-118.2624298,33.77996518
Winchester Bay,WIN,WINCHESTER BAY,O,-124.1739317,43.67493179
Windsor,OSM,WINDSOR,C,-122.8049446,38.54563902
Winterhaven,OCA,WINTERHAVEN,C,-114.6332165,32.73807211
Woodbridge,OCA,WOODBRIDGE,C,-121.3170529,38.16239994
Woodland,OCA,WOODLAND,C,-121.7653908,38.67739793
Yachats,YAC,YACHATS,O,-124.1001605,44.31013975
Yolo,OCA,YOLO,C,-121.8056488,38.73366193
Yountville,OSF,YOUNTVILLE,C,-122.3601817,38.401152
Yreka,OCA,YREKA,C,-122.6356352,41.73157677
Yuba City,OCA,YUBA CITY,C,-121.6251337,39.13221489
Yucca Valley,OCA,YUCCA VALLEY,C,-116.4223091,34.12093303
Ilwaco/Chinook,LWC,ILWACO/CHINOOK,W,-123.9943492,46.29274213
Warrenton,WAR,WARRENTON,O,-123.9238,46.1651
